Gene,M-6
ENSMUSG00000085280,3
ENSMUSG00000087131,1
ENSMUSG00000048814,5
ENSMUSG00000026080,15
ENSMUSG00000103647,0
ENSMUSG00000067604,0
ENSMUSG00000026078,1301
ENSMUSG00000104188,0
ENSMUSG00000026077,2
ENSMUSG00000073702,9291
ENSMUSG00000003134,74
ENSMUSG00000003135,1542
ENSMUSG00000085894,23
ENSMUSG00000048234,1123
ENSMUSG00000050967,0
ENSMUSG00000097083,0
ENSMUSG00000057173,0
ENSMUSG00000091937,0
ENSMUSG00000101634,0
ENSMUSG00000026074,6518
ENSMUSG00000026073,0
ENSMUSG00000097899,0
ENSMUSG00000026072,0
ENSMUSG00000070942,0
ENSMUSG00000026069,0
ENSMUSG00000026070,0
ENSMUSG00000026068,0
ENSMUSG00000104441,0
ENSMUSG00000026065,0
ENSMUSG00000026062,0
ENSMUSG00000103679,0
ENSMUSG00000103270,0
ENSMUSG00000041945,33
ENSMUSG00000079588,0
ENSMUSG00000104072,0
ENSMUSG00000100185,0
ENSMUSG00000100832,0
ENSMUSG00000053640,0
ENSMUSG00000101919,0
ENSMUSG00000101299,0
ENSMUSG00000100180,0
ENSMUSG00000060424,0
ENSMUSG00000093436,0
ENSMUSG00000045515,0
ENSMUSG00000097063,0
ENSMUSG00000099784,0
ENSMUSG00000060679,1221
ENSMUSG00000041907,0
ENSMUSG00000070939,1272
ENSMUSG00000100269,0
ENSMUSG00000041878,7
ENSMUSG00000010290,1157
ENSMUSG00000008136,2
ENSMUSG00000099576,0
ENSMUSG00000066877,465
ENSMUSG00000026051,8
ENSMUSG00000100764,0
ENSMUSG00000100635,4
ENSMUSG00000100480,11
ENSMUSG00000057363,1661
ENSMUSG00000041763,3353
ENSMUSG00000047343,8
ENSMUSG00000091844,8
ENSMUSG00000026049,1093
ENSMUSG00000026047,1311
ENSMUSG00000041684,822
ENSMUSG00000026048,915
ENSMUSG00000046828,0
ENSMUSG00000100769,0
ENSMUSG00000056870,2383
ENSMUSG00000101701,0
ENSMUSG00000026043,2
ENSMUSG00000026042,0
ENSMUSG00000025995,2837
ENSMUSG00000098549,0
ENSMUSG00000025993,137
ENSMUSG00000041144,1533
ENSMUSG00000101337,49
ENSMUSG00000025986,1440
ENSMUSG00000100213,11
ENSMUSG00000101447,0
ENSMUSG00000051616,0
ENSMUSG00000099608,0
ENSMUSG00000100451,0
ENSMUSG00000100816,0
ENSMUSG00000026109,24
ENSMUSG00000100671,0
ENSMUSG00000101242,0
ENSMUSG00000099924,0
ENSMUSG00000099625,0
ENSMUSG00000101799,0
ENSMUSG00000045954,1641
ENSMUSG00000101702,0
ENSMUSG00000026107,218
ENSMUSG00000099413,0
ENSMUSG00000101741,0
ENSMUSG00000018417,1477
ENSMUSG00000101724,0
ENSMUSG00000100313,0
ENSMUSG00000062939,0
ENSMUSG00000109599,7
ENSMUSG00000026104,884
ENSMUSG00000026103,4399
ENSMUSG00000002881,2350
ENSMUSG00000100120,1
ENSMUSG00000099878,1
ENSMUSG00000043015,287
ENSMUSG00000041439,857
ENSMUSG00000100302,0
ENSMUSG00000026102,156
ENSMUSG00000041426,618
ENSMUSG00000043629,464
ENSMUSG00000026100,0
ENSMUSG00000060715,10
ENSMUSG00000026098,543
ENSMUSG00000100763,5
ENSMUSG00000026097,1009
ENSMUSG00000026096,698
ENSMUSG00000026095,1748
ENSMUSG00000117809,0
ENSMUSG00000096141,0
ENSMUSG00000026094,540
ENSMUSG00000042807,5
ENSMUSG00000025983,3
ENSMUSG00000041303,1349
ENSMUSG00000109809,0
ENSMUSG00000073678,475
ENSMUSG00000052331,264
ENSMUSG00000101674,3
ENSMUSG00000025982,11680
ENSMUSG00000025981,364
ENSMUSG00000025980,33411
ENSMUSG00000073676,4324
ENSMUSG00000025979,2154
ENSMUSG00000025978,7
ENSMUSG00000097649,0
ENSMUSG00000046994,612
ENSMUSG00000025977,0
ENSMUSG00000038349,26
ENSMUSG00000099950,0
ENSMUSG00000100372,0
ENSMUSG00000101332,0
ENSMUSG00000045336,0
ENSMUSG00000038331,101
ENSMUSG00000087022,6
ENSMUSG00000099945,0
ENSMUSG00000101429,0
ENSMUSG00000097519,69
ENSMUSG00000038323,499
ENSMUSG00000048495,261
ENSMUSG00000025971,267
ENSMUSG00000038305,1
ENSMUSG00000091283,0
ENSMUSG00000054770,494
ENSMUSG00000026039,418
ENSMUSG00000063558,340
ENSMUSG00000064294,0
ENSMUSG00000038242,0
ENSMUSG00000089822,0
ENSMUSG00000079554,0
ENSMUSG00000051223,13076
ENSMUSG00000026034,2634
ENSMUSG00000026035,388
ENSMUSG00000026036,1458
ENSMUSG00000026037,2281
ENSMUSG00000085054,3
ENSMUSG00000038174,574
ENSMUSG00000026032,1033
ENSMUSG00000047528,10
ENSMUSG00000026031,2334
ENSMUSG00000026029,1547
ENSMUSG00000026028,3474
ENSMUSG00000026027,331
ENSMUSG00000072295,1
ENSMUSG00000047383,0
ENSMUSG00000099752,0
ENSMUSG00000038079,892
ENSMUSG00000097573,0
ENSMUSG00000079550,12
ENSMUSG00000101586,4
ENSMUSG00000026024,1662
ENSMUSG00000026023,1254
ENSMUSG00000099922,0
ENSMUSG00000041075,1894
ENSMUSG00000097819,154
ENSMUSG00000047361,94
ENSMUSG00000099811,0
ENSMUSG00000101409,0
ENSMUSG00000026021,3431
ENSMUSG00000026020,6210
ENSMUSG00000067336,1661
ENSMUSG00000041040,579
ENSMUSG00000026018,6
ENSMUSG00000026019,1725
ENSMUSG00000026017,314
ENSMUSG00000073664,869
ENSMUSG00000049439,1207
ENSMUSG00000026782,1837
ENSMUSG00000026014,1146
ENSMUSG00000026012,0
ENSMUSG00000086795,0
ENSMUSG00000085965,0
ENSMUSG00000026011,0
ENSMUSG00000026009,0
ENSMUSG00000100893,0
ENSMUSG00000085248,0
ENSMUSG00000085447,0
ENSMUSG00000086408,0
ENSMUSG00000100965,0
ENSMUSG00000086009,0
ENSMUSG00000052062,2
ENSMUSG00000085842,0
ENSMUSG00000085019,0
ENSMUSG00000085400,0
ENSMUSG00000100750,9
ENSMUSG00000025969,6045
ENSMUSG00000100811,16
ENSMUSG00000100426,1
ENSMUSG00000040865,1977
ENSMUSG00000084799,51
ENSMUSG00000101599,59
ENSMUSG00000025968,4331
ENSMUSG00000025967,12114
ENSMUSG00000046856,0
ENSMUSG00000086730,0
ENSMUSG00000087561,0
ENSMUSG00000027520,0
ENSMUSG00000025964,404
ENSMUSG00000115378,0
ENSMUSG00000069085,0
ENSMUSG00000025963,4
ENSMUSG00000025962,924
ENSMUSG00000025961,6
