Gene,HE-5
ENSMUSG00000085280,1
ENSMUSG00000087131,1
ENSMUSG00000048814,3
ENSMUSG00000026080,2
ENSMUSG00000103647,0
ENSMUSG00000067604,0
ENSMUSG00000026078,1153
ENSMUSG00000104188,0
ENSMUSG00000026077,0
ENSMUSG00000073702,9772
ENSMUSG00000003134,97
ENSMUSG00000003135,1442
ENSMUSG00000085894,36
ENSMUSG00000048234,936
ENSMUSG00000050967,0
ENSMUSG00000097083,0
ENSMUSG00000057173,0
ENSMUSG00000091937,0
ENSMUSG00000101634,0
ENSMUSG00000026074,7311
ENSMUSG00000026073,0
ENSMUSG00000097899,0
ENSMUSG00000026072,2
ENSMUSG00000070942,0
ENSMUSG00000026069,0
ENSMUSG00000026070,0
ENSMUSG00000026068,6
ENSMUSG00000104441,0
ENSMUSG00000026065,0
ENSMUSG00000026062,0
ENSMUSG00000103679,0
ENSMUSG00000103270,0
ENSMUSG00000041945,33
ENSMUSG00000079588,0
ENSMUSG00000104072,0
ENSMUSG00000100185,0
ENSMUSG00000100832,0
ENSMUSG00000053640,0
ENSMUSG00000101919,0
ENSMUSG00000101299,0
ENSMUSG00000100180,0
ENSMUSG00000060424,0
ENSMUSG00000093436,0
ENSMUSG00000045515,0
ENSMUSG00000097063,0
ENSMUSG00000099784,0
ENSMUSG00000060679,1193
ENSMUSG00000041907,0
ENSMUSG00000070939,1123
ENSMUSG00000100269,0
ENSMUSG00000041878,5
ENSMUSG00000010290,1030
ENSMUSG00000008136,1
ENSMUSG00000099576,0
ENSMUSG00000066877,671
ENSMUSG00000026051,2
ENSMUSG00000100764,1
ENSMUSG00000100635,0
ENSMUSG00000100480,17
ENSMUSG00000057363,1640
ENSMUSG00000041763,3534
ENSMUSG00000047343,4
ENSMUSG00000091844,15
ENSMUSG00000026049,1081
ENSMUSG00000026047,1250
ENSMUSG00000041684,777
ENSMUSG00000026048,813
ENSMUSG00000046828,0
ENSMUSG00000100769,0
ENSMUSG00000056870,2948
ENSMUSG00000101701,6
ENSMUSG00000026043,6
ENSMUSG00000026042,0
ENSMUSG00000025995,2866
ENSMUSG00000098549,0
ENSMUSG00000025993,597
ENSMUSG00000041144,855
ENSMUSG00000101337,29
ENSMUSG00000025986,1600
ENSMUSG00000100213,12
ENSMUSG00000101447,0
ENSMUSG00000051616,0
ENSMUSG00000099608,0
ENSMUSG00000100451,0
ENSMUSG00000100816,0
ENSMUSG00000026109,17
ENSMUSG00000100671,0
ENSMUSG00000101242,0
ENSMUSG00000099924,0
ENSMUSG00000099625,0
ENSMUSG00000101799,0
ENSMUSG00000045954,1653
ENSMUSG00000101702,0
ENSMUSG00000026107,186
ENSMUSG00000099413,0
ENSMUSG00000101741,0
ENSMUSG00000018417,1405
ENSMUSG00000101724,0
ENSMUSG00000100313,0
ENSMUSG00000062939,0
ENSMUSG00000109599,1
ENSMUSG00000026104,802
ENSMUSG00000026103,4198
ENSMUSG00000002881,1836
ENSMUSG00000100120,3
ENSMUSG00000099878,0
ENSMUSG00000043015,219
ENSMUSG00000041439,845
ENSMUSG00000100302,0
ENSMUSG00000026102,145
ENSMUSG00000041426,612
ENSMUSG00000043629,144
ENSMUSG00000026100,0
ENSMUSG00000060715,7
ENSMUSG00000026098,459
ENSMUSG00000100763,0
ENSMUSG00000026097,801
ENSMUSG00000026096,550
ENSMUSG00000026095,1436
ENSMUSG00000117809,0
ENSMUSG00000096141,2
ENSMUSG00000026094,439
ENSMUSG00000042807,6
ENSMUSG00000025983,4
ENSMUSG00000041303,1177
ENSMUSG00000109809,0
ENSMUSG00000073678,428
ENSMUSG00000052331,260
ENSMUSG00000101674,0
ENSMUSG00000025982,11194
ENSMUSG00000025981,357
ENSMUSG00000025980,31138
ENSMUSG00000073676,4959
ENSMUSG00000025979,2041
ENSMUSG00000025978,7
ENSMUSG00000097649,2
ENSMUSG00000046994,628
ENSMUSG00000025977,2
ENSMUSG00000038349,7
ENSMUSG00000099950,0
ENSMUSG00000100372,0
ENSMUSG00000101332,0
ENSMUSG00000045336,0
ENSMUSG00000038331,144
ENSMUSG00000087022,6
ENSMUSG00000099945,0
ENSMUSG00000101429,0
ENSMUSG00000097519,51
ENSMUSG00000038323,435
ENSMUSG00000048495,224
ENSMUSG00000025971,288
ENSMUSG00000038305,0
ENSMUSG00000091283,0
ENSMUSG00000054770,474
ENSMUSG00000026039,421
ENSMUSG00000063558,441
ENSMUSG00000064294,0
ENSMUSG00000038242,0
ENSMUSG00000089822,0
ENSMUSG00000079554,2
ENSMUSG00000051223,12094
ENSMUSG00000026034,2433
ENSMUSG00000026035,392
ENSMUSG00000026036,1518
ENSMUSG00000026037,2117
ENSMUSG00000085054,12
ENSMUSG00000038174,484
ENSMUSG00000026032,1020
ENSMUSG00000047528,2
ENSMUSG00000026031,2330
ENSMUSG00000026029,1417
ENSMUSG00000026028,3017
ENSMUSG00000026027,275
ENSMUSG00000072295,3
ENSMUSG00000047383,0
ENSMUSG00000099752,0
ENSMUSG00000038079,709
ENSMUSG00000097573,1
ENSMUSG00000079550,12
ENSMUSG00000101586,5
ENSMUSG00000026024,1473
ENSMUSG00000026023,997
ENSMUSG00000099922,1
ENSMUSG00000041075,1839
ENSMUSG00000097819,132
ENSMUSG00000047361,58
ENSMUSG00000099811,0
ENSMUSG00000101409,0
ENSMUSG00000026021,3107
ENSMUSG00000026020,6406
ENSMUSG00000067336,1780
ENSMUSG00000041040,437
ENSMUSG00000026018,11
ENSMUSG00000026019,1718
ENSMUSG00000026017,243
ENSMUSG00000073664,787
ENSMUSG00000049439,1188
ENSMUSG00000026782,1668
ENSMUSG00000026014,1528
ENSMUSG00000026012,2
ENSMUSG00000086795,0
ENSMUSG00000085965,0
ENSMUSG00000026011,0
ENSMUSG00000026009,0
ENSMUSG00000100893,0
ENSMUSG00000085248,0
ENSMUSG00000085447,0
ENSMUSG00000086408,0
ENSMUSG00000100965,0
ENSMUSG00000086009,0
ENSMUSG00000052062,0
ENSMUSG00000085842,0
ENSMUSG00000085019,0
ENSMUSG00000085400,0
ENSMUSG00000100750,16
ENSMUSG00000025969,11377
ENSMUSG00000100811,19
ENSMUSG00000100426,0
ENSMUSG00000040865,1819
ENSMUSG00000084799,14
ENSMUSG00000101599,82
ENSMUSG00000025968,3730
ENSMUSG00000025967,11674
ENSMUSG00000046856,2
ENSMUSG00000086730,0
ENSMUSG00000087561,0
ENSMUSG00000027520,0
ENSMUSG00000025964,238
ENSMUSG00000115378,0
ENSMUSG00000069085,0
ENSMUSG00000025963,3
ENSMUSG00000025962,760
ENSMUSG00000025961,6
ENSMUSG00000044689,0
ENSMUSG00000025959,612
ENSMUSG00000086836,0
ENSMUSG00000101895,0
ENSMUSG00000025958,1632
ENSMUSG00000025956,639
ENSMUSG00000101832,1
ENSMUSG00000100437,0
ENSMUSG00000087213,26
ENSMUSG00000070871,811
ENSMUSG00000045005,124
ENSMUSG00000051344,332
ENSMUSG00000025955,2
ENSMUSG00000070870,0
ENSMUSG00000067299,0
ENSMUSG00000025952,0
ENSMUSG00000073658,0
ENSMUSG00000044429,0
ENSMUSG00000044816,1
ENSMUSG00000025950,1616
ENSMUSG00000025949,2082
ENSMUSG00000025946,1
ENSMUSG00000025945,0
ENSMUSG00000015222,456
ENSMUSG00000073656,0
ENSMUSG00000055567,3
ENSMUSG00000026005,1111
ENSMUSG00000026004,253
ENSMUSG00000026003,2204
